iter	Passed	Remaining
0	155	155348
1	163	81723
2	172	57220
3	179	44783
4	188	37579
5	197	32681
6	205	29200
7	213	26508
8	222	24467
9	229	22756
10	238	21420
11	246	20258
12	254	19352
13	262	18501
14	271	17810
15	278	17132
16	286	16585
17	294	16069
18	302	15619
19	310	15199
20	318	14834
21	325	14491
22	334	14204
23	342	13919
24	350	13671
25	358	13440
26	367	13252
27	375	13026
28	383	12850
29	394	12746
30	403	12611
31	412	12471
32	419	12283
33	426	12127
34	435	11997
35	442	11853
36	451	11742
37	458	11612
38	466	11505
39	474	11386
40	483	11299
41	491	11209
42	500	11136
43	509	11063
44	518	11010
45	529	10978
46	538	10921
47	549	10891
48	557	10826
49	567	10781
50	577	10744
51	584	10657
52	595	10634
53	603	10580
54	615	10569
55	625	10551
56	634	10490
57	644	10467
58	652	10405
59	663	10396
60	672	10344
61	680	10294
62	689	10248
63	696	10192
64	704	10139
65	713	10092
66	721	10040
67	729	9992
68	737	9952
69	745	9909
70	754	9869
71	762	9823
72	770	9784
73	780	9767
74	794	9794
75	808	9823
76	817	9796
77	836	9889
78	848	9891
79	863	9926
80	879	9977
81	894	10010
82	909	10042
83	923	10066
84	935	10071
85	947	10065
86	968	10165
87	982	10180
88	993	10172
89	1006	10172
90	1014	10137
91	1033	10198
92	1060	10345
93	1083	10445
94	1099	10475
95	1111	10462
96	1124	10471
97	1137	10465
98	1145	10427
99	1157	10421
100	1169	10412
101	1178	10374
102	1191	10377
103	1202	10361
104	1211	10323
105	1223	10317
106	1233	10295
107	1244	10276
108	1259	10294
109	1272	10294
110	1286	10307
111	1303	10338
112	1336	10490
113	1351	10506
114	1363	10490
115	1374	10472
116	1387	10471
117	1399	10462
118	1408	10428
119	1420	10417
120	1429	10385
121	1438	10352
122	1449	10334
123	1463	10339
124	1475	10331
125	1487	10316
126	1498	10298
127	1506	10260
128	1519	10258
129	1528	10227
130	1537	10200
131	1549	10191
132	1558	10156
133	1568	10136
134	1577	10105
135	1586	10078
136	1596	10057
137	1607	10040
138	1618	10026
139	1626	9993
140	1635	9964
141	1643	9931
142	1651	9899
143	1659	9865
144	1667	9835
145	1676	9809
146	1685	9778
147	1693	9749
148	1701	9718
149	1709	9688
150	1718	9660
151	1727	9637
152	1735	9608
153	1745	9589
154	1752	9554
155	1761	9531
156	1768	9497
157	1777	9473
158	1784	9438
159	1794	9420
160	1802	9391
161	1813	9379
162	1822	9357
163	1832	9339
164	1840	9314
165	1850	9296
166	1860	9281
167	1868	9253
168	1879	9241
169	1887	9217
170	1897	9198
171	1906	9178
172	1915	9158
173	1926	9143
174	1934	9118
175	1945	9108
176	1953	9082
177	1962	9061
178	1970	9036
179	1979	9015
180	1986	8990
181	1995	8968
182	2004	8948
183	2012	8925
184	2021	8903
185	2030	8884
186	2041	8874
187	2049	8851
188	2060	8843
189	2069	8823
190	2078	8805
191	2089	8793
192	2097	8772
193	2108	8759
194	2115	8735
195	2126	8721
196	2135	8703
197	2145	8689
198	2155	8676
199	2164	8656
200	2174	8645
201	2183	8626
202	2192	8606
203	2199	8581
204	2207	8560
205	2214	8534
206	2222	8514
207	2229	8489
208	2238	8471
209	2245	8446
210	2255	8434
211	2262	8409
212	2271	8392
213	2278	8366
214	2286	8348
215	2293	8323
216	2300	8302
217	2308	8281
218	2316	8260
219	2324	8240
220	2331	8219
221	2340	8202
222	2347	8180
223	2356	8164
224	2364	8145
225	2372	8126
226	2380	8106
227	2388	8087
228	2395	8066
229	2404	8050
230	2413	8034
231	2422	8017
232	2429	7996
233	2438	7981
234	2446	7964
235	2456	7952
236	2465	7936
237	2474	7921
238	2484	7910
239	2492	7891
240	2503	7883
241	2510	7864
242	2521	7854
243	2530	7839
244	2540	7827
245	2551	7820
246	2559	7801
247	2570	7795
248	2579	7779
249	2588	7765
250	2601	7764
251	2610	7749
252	2619	7734
253	2628	7718
254	2636	7703
255	2644	7685
256	2653	7670
257	2661	7653
258	2669	7637
259	2677	7619
260	2685	7603
261	2692	7585
262	2702	7573
263	2710	7557
264	2719	7543
265	2730	7535
266	2738	7518
267	2749	7509
268	2757	7492
269	2768	7485
270	2776	7470
271	2785	7455
272	2793	7439
273	2804	7431
274	2815	7423
275	2824	7408
276	2833	7396
277	2843	7383
278	2852	7372
279	2862	7361
280	2869	7343
281	2879	7332
282	2886	7313
283	2895	7299
284	2901	7279
285	2910	7266
286	2917	7249
287	2925	7233
288	2933	7217
289	2941	7202
290	2949	7187
291	2957	7170
292	2965	7155
293	2973	7139
294	2981	7125
295	2988	7108
296	2997	7094
297	3004	7078
298	3012	7063
299	3019	7045
300	3029	7034
301	3036	7018
302	3046	7007
303	3052	6989
304	3061	6975
305	3067	6957
306	3076	6945
307	3083	6927
308	3093	6916
309	3099	6899
310	3108	6886
311	3115	6869
312	3130	6871
313	3145	6871
314	3158	6868
315	3166	6853
316	3178	6847
317	3187	6836
318	3198	6827
319	3212	6826
320	3222	6816
321	3232	6805
322	3244	6800
323	3257	6796
324	3266	6783
325	3278	6778
326	3289	6770
327	3298	6757
328	3309	6749
329	3320	6741
330	3328	6728
331	3341	6724
332	3354	6718
333	3361	6703
334	3371	6693
335	3379	6678
336	3388	6666
337	3395	6650
338	3406	6641
339	3413	6625
340	3423	6615
341	3430	6599
342	3440	6589
343	3449	6578
344	3458	6566
345	3466	6551
346	3474	6538
347	3482	6524
348	3490	6510
